forecast_date,target,target_end_date,location,age_group,type,quantile,value,pathogen
2023-03-04,-28 day ahead inc hosp,2023-02-04,DE,00-04,quantile,0.025,138,COVID-19
2023-03-04,-28 day ahead inc hosp,2023-02-04,DE,00-04,quantile,0.1,138,COVID-19
2023-03-04,-28 day ahead inc hosp,2023-02-04,DE,00-04,quantile,0.25,138,COVID-19
2023-03-04,-28 day ahead inc hosp,2023-02-04,DE,00-04,quantile,0.5,139,COVID-19
2023-03-04,-28 day ahead inc hosp,2023-02-04,DE,00-04,quantile,0.75,141,COVID-19
2023-03-04,-28 day ahead inc hosp,2023-02-04,DE,00-04,quantile,0.9,143,COVID-19
2023-03-04,-28 day ahead inc hosp,2023-02-04,DE,00-04,quantile,0.975,146,COVID-19
2023-03-04,-28 day ahead inc hosp,2023-02-04,DE,00+,quantile,0.025,6013,COVID-19
2023-03-04,-28 day ahead inc hosp,2023-02-04,DE,00+,quantile,0.1,6034,COVID-19
2023-03-04,-28 day ahead inc hosp,2023-02-04,DE,00+,quantile,0.25,6059,COVID-19
2023-03-04,-28 day ahead inc hosp,2023-02-04,DE,00+,quantile,0.5,6093,COVID-19
2023-03-04,-28 day ahead inc hosp,2023-02-04,DE,00+,quantile,0.75,6138,COVID-19
2023-03-04,-28 day ahead inc hosp,2023-02-04,DE,00+,quantile,0.9,6189,COVID-19
2023-03-04,-28 day ahead inc hosp,2023-02-04,DE,00+,quantile,0.975,6262,COVID-19
2023-03-04,-28 day ahead inc hosp,2023-02-04,DE,05-14,quantile,0.025,70,COVID-19
2023-03-04,-28 day ahead inc hosp,2023-02-04,DE,05-14,quantile,0.1,70,COVID-19
2023-03-04,-28 day ahead inc hosp,2023-02-04,DE,05-14,quantile,0.25,71,COVID-19
2023-03-04,-28 day ahead inc hosp,2023-02-04,DE,05-14,quantile,0.5,73,COVID-19
2023-03-04,-28 day ahead inc hosp,2023-02-04,DE,05-14,quantile,0.75,74,COVID-19
2023-03-04,-28 day ahead inc hosp,2023-02-04,DE,05-14,quantile,0.9,75,COVID-19
2023-03-04,-28 day ahead inc hosp,2023-02-04,DE,05-14,quantile,0.975,76,COVID-19
2023-03-04,-28 day ahead inc hosp,2023-02-04,DE,15-34,quantile,0.025,446,COVID-19
2023-03-04,-28 day ahead inc hosp,2023-02-04,DE,15-34,quantile,0.1,448,COVID-19
2023-03-04,-28 day ahead inc hosp,2023-02-04,DE,15-34,quantile,0.25,452,COVID-19
2023-03-04,-28 day ahead inc hosp,2023-02-04,DE,15-34,quantile,0.5,461,COVID-19
2023-03-04,-28 day ahead inc hosp,2023-02-04,DE,15-34,quantile,0.75,482,COVID-19
2023-03-04,-28 day ahead inc hosp,2023-02-04,DE,15-34,quantile,0.9,521,COVID-19
2023-03-04,-28 day ahead inc hosp,2023-02-04,DE,15-34,quantile,0.975,615,COVID-19
2023-03-04,-28 day ahead inc hosp,2023-02-04,DE,35-59,quantile,0.025,895,COVID-19
2023-03-04,-28 day ahead inc hosp,2023-02-04,DE,35-59,quantile,0.1,899,COVID-19
2023-03-04,-28 day ahead inc hosp,2023-02-04,DE,35-59,quantile,0.25,903,COVID-19
2023-03-04,-28 day ahead inc hosp,2023-02-04,DE,35-59,quantile,0.5,910,COVID-19
2023-03-04,-28 day ahead inc hosp,2023-02-04,DE,35-59,quantile,0.75,917,COVID-19
2023-03-04,-28 day ahead inc hosp,2023-02-04,DE,35-59,quantile,0.9,925,COVID-19
2023-03-04,-28 day ahead inc hosp,2023-02-04,DE,35-59,quantile,0.975,936,COVID-19
2023-03-04,-28 day ahead inc hosp,2023-02-04,DE,60-79,quantile,0.025,2056,COVID-19
2023-03-04,-28 day ahead inc hosp,2023-02-04,DE,60-79,quantile,0.1,2062,COVID-19
2023-03-04,-28 day ahead inc hosp,2023-02-04,DE,60-79,quantile,0.25,2070,COVID-19
2023-03-04,-28 day ahead inc hosp,2023-02-04,DE,60-79,quantile,0.5,2082,COVID-19
2023-03-04,-28 day ahead inc hosp,2023-02-04,DE,60-79,quantile,0.75,2098,COVID-19
2023-03-04,-28 day ahead inc hosp,2023-02-04,DE,60-79,quantile,0.9,2117,COVID-19
2023-03-04,-28 day ahead inc hosp,2023-02-04,DE,60-79,quantile,0.975,2146,COVID-19
2023-03-04,-28 day ahead inc hosp,2023-02-04,DE,80+,quantile,0.025,2401,COVID-19
2023-03-04,-28 day ahead inc hosp,2023-02-04,DE,80+,quantile,0.1,2409,COVID-19
2023-03-04,-28 day ahead inc hosp,2023-02-04,DE,80+,quantile,0.25,2417,COVID-19
2023-03-04,-28 day ahead inc hosp,2023-02-04,DE,80+,quantile,0.5,2430,COVID-19
2023-03-04,-28 day ahead inc hosp,2023-02-04,DE,80+,quantile,0.75,2445,COVID-19
2023-03-04,-28 day ahead inc hosp,2023-02-04,DE,80+,quantile,0.9,2462,COVID-19
2023-03-04,-28 day ahead inc hosp,2023-02-04,DE,80+,quantile,0.975,2486,COVID-19
2023-03-04,-27 day ahead inc hosp,2023-02-05,DE,00-04,quantile,0.025,139,COVID-19
2023-03-04,-27 day ahead inc hosp,2023-02-05,DE,00-04,quantile,0.1,139,COVID-19
2023-03-04,-27 day ahead inc hosp,2023-02-05,DE,00-04,quantile,0.25,139,COVID-19
2023-03-04,-27 day ahead inc hosp,2023-02-05,DE,00-04,quantile,0.5,140,COVID-19
2023-03-04,-27 day ahead inc hosp,2023-02-05,DE,00-04,quantile,0.75,142,COVID-19
2023-03-04,-27 day ahead inc hosp,2023-02-05,DE,00-04,quantile,0.9,144,COVID-19
2023-03-04,-27 day ahead inc hosp,2023-02-05,DE,00-04,quantile,0.975,147,COVID-19
2023-03-04,-27 day ahead inc hosp,2023-02-05,DE,00+,quantile,0.025,6063,COVID-19
2023-03-04,-27 day ahead inc hosp,2023-02-05,DE,00+,quantile,0.1,6085,COVID-19
2023-03-04,-27 day ahead inc hosp,2023-02-05,DE,00+,quantile,0.25,6109,COVID-19
2023-03-04,-27 day ahead inc hosp,2023-02-05,DE,00+,quantile,0.5,6145,COVID-19
2023-03-04,-27 day ahead inc hosp,2023-02-05,DE,00+,quantile,0.75,6190,COVID-19
2023-03-04,-27 day ahead inc hosp,2023-02-05,DE,00+,quantile,0.9,6242,COVID-19
2023-03-04,-27 day ahead inc hosp,2023-02-05,DE,00+,quantile,0.975,6317,COVID-19
2023-03-04,-27 day ahead inc hosp,2023-02-05,DE,05-14,quantile,0.025,69,COVID-19
2023-03-04,-27 day ahead inc hosp,2023-02-05,DE,05-14,quantile,0.1,69,COVID-19
2023-03-04,-27 day ahead inc hosp,2023-02-05,DE,05-14,quantile,0.25,70,COVID-19
2023-03-04,-27 day ahead inc hosp,2023-02-05,DE,05-14,quantile,0.5,71,COVID-19
2023-03-04,-27 day ahead inc hosp,2023-02-05,DE,05-14,quantile,0.75,73,COVID-19
2023-03-04,-27 day ahead inc hosp,2023-02-05,DE,05-14,quantile,0.9,74,COVID-19
2023-03-04,-27 day ahead inc hosp,2023-02-05,DE,05-14,quantile,0.975,75,COVID-19
2023-03-04,-27 day ahead inc hosp,2023-02-05,DE,15-34,quantile,0.025,448,COVID-19
2023-03-04,-27 day ahead inc hosp,2023-02-05,DE,15-34,quantile,0.1,450,COVID-19
2023-03-04,-27 day ahead inc hosp,2023-02-05,DE,15-34,quantile,0.25,454,COVID-19
2023-03-04,-27 day ahead inc hosp,2023-02-05,DE,15-34,quantile,0.5,463,COVID-19
2023-03-04,-27 day ahead inc hosp,2023-02-05,DE,15-34,quantile,0.75,482,COVID-19
2023-03-04,-27 day ahead inc hosp,2023-02-05,DE,15-34,quantile,0.9,517,COVID-19
2023-03-04,-27 day ahead inc hosp,2023-02-05,DE,15-34,quantile,0.975,597,COVID-19
2023-03-04,-27 day ahead inc hosp,2023-02-05,DE,35-59,quantile,0.025,906,COVID-19
2023-03-04,-27 day ahead inc hosp,2023-02-05,DE,35-59,quantile,0.1,911,COVID-19
2023-03-04,-27 day ahead inc hosp,2023-02-05,DE,35-59,quantile,0.25,915,COVID-19
2023-03-04,-27 day ahead inc hosp,2023-02-05,DE,35-59,quantile,0.5,922,COVID-19
2023-03-04,-27 day ahead inc hosp,2023-02-05,DE,35-59,quantile,0.75,929,COVID-19
2023-03-04,-27 day ahead inc hosp,2023-02-05,DE,35-59,quantile,0.9,938,COVID-19
2023-03-04,-27 day ahead inc hosp,2023-02-05,DE,35-59,quantile,0.975,950,COVID-19
2023-03-04,-27 day ahead inc hosp,2023-02-05,DE,60-79,quantile,0.025,2075,COVID-19
2023-03-04,-27 day ahead inc hosp,2023-02-05,DE,60-79,quantile,0.1,2082,COVID-19
2023-03-04,-27 day ahead inc hosp,2023-02-05,DE,60-79,quantile,0.25,2090,COVID-19
2023-03-04,-27 day ahead inc hosp,2023-02-05,DE,60-79,quantile,0.5,2101,COVID-19
2023-03-04,-27 day ahead inc hosp,2023-02-05,DE,60-79,quantile,0.75,2117,COVID-19
2023-03-04,-27 day ahead inc hosp,2023-02-05,DE,60-79,quantile,0.9,2136,COVID-19
2023-03-04,-27 day ahead inc hosp,2023-02-05,DE,60-79,quantile,0.975,2164,COVID-19
2023-03-04,-27 day ahead inc hosp,2023-02-05,DE,80+,quantile,0.025,2419,COVID-19
2023-03-04,-27 day ahead inc hosp,2023-02-05,DE,80+,quantile,0.1,2427,COVID-19
2023-03-04,-27 day ahead inc hosp,2023-02-05,DE,80+,quantile,0.25,2436,COVID-19
2023-03-04,-27 day ahead inc hosp,2023-02-05,DE,80+,quantile,0.5,2447,COVID-19
2023-03-04,-27 day ahead inc hosp,2023-02-05,DE,80+,quantile,0.75,2462,COVID-19
2023-03-04,-27 day ahead inc hosp,2023-02-05,DE,80+,quantile,0.9,2479,COVID-19
2023-03-04,-27 day ahead inc hosp,2023-02-05,DE,80+,quantile,0.975,2503,COVID-19
2023-03-04,-26 day ahead inc hosp,2023-02-06,DE,00-04,quantile,0.025,144,COVID-19
2023-03-04,-26 day ahead inc hosp,2023-02-06,DE,00-04,quantile,0.1,144,COVID-19
2023-03-04,-26 day ahead inc hosp,2023-02-06,DE,00-04,quantile,0.25,144,COVID-19
2023-03-04,-26 day ahead inc hosp,2023-02-06,DE,00-04,quantile,0.5,145,COVID-19
2023-03-04,-26 day ahead inc hosp,2023-02-06,DE,00-04,quantile,0.75,147,COVID-19
2023-03-04,-26 day ahead inc hosp,2023-02-06,DE,00-04,quantile,0.9,149,COVID-19
2023-03-04,-26 day ahead inc hosp,2023-02-06,DE,00-04,quantile,0.975,151,COVID-19
2023-03-04,-26 day ahead inc hosp,2023-02-06,DE,00+,quantile,0.025,6086,COVID-19
2023-03-04,-26 day ahead inc hosp,2023-02-06,DE,00+,quantile,0.1,6107,COVID-19
2023-03-04,-26 day ahead inc hosp,2023-02-06,DE,00+,quantile,0.25,6131,COVID-19
2023-03-04,-26 day ahead inc hosp,2023-02-06,DE,00+,quantile,0.5,6165,COVID-19
2023-03-04,-26 day ahead inc hosp,2023-02-06,DE,00+,quantile,0.75,6209,COVID-19
2023-03-04,-26 day ahead inc hosp,2023-02-06,DE,00+,quantile,0.9,6259,COVID-19
2023-03-04,-26 day ahead inc hosp,2023-02-06,DE,00+,quantile,0.975,6329,COVID-19
2023-03-04,-26 day ahead inc hosp,2023-02-06,DE,05-14,quantile,0.025,66,COVID-19
2023-03-04,-26 day ahead inc hosp,2023-02-06,DE,05-14,quantile,0.1,66,COVID-19
2023-03-04,-26 day ahead inc hosp,2023-02-06,DE,05-14,quantile,0.25,67,COVID-19
2023-03-04,-26 day ahead inc hosp,2023-02-06,DE,05-14,quantile,0.5,68,COVID-19
2023-03-04,-26 day ahead inc hosp,2023-02-06,DE,05-14,quantile,0.75,70,COVID-19
