forecast_date,target,target_end_date,location,age_group,type,quantile,value,pathogen
2023-03-15,-28 day ahead inc hosp,2023-02-15,DE,00-04,quantile,0.025,158,COVID-19
2023-03-15,-28 day ahead inc hosp,2023-02-15,DE,00-04,quantile,0.1,158,COVID-19
2023-03-15,-28 day ahead inc hosp,2023-02-15,DE,00-04,quantile,0.25,158,COVID-19
2023-03-15,-28 day ahead inc hosp,2023-02-15,DE,00-04,quantile,0.5,159,COVID-19
2023-03-15,-28 day ahead inc hosp,2023-02-15,DE,00-04,quantile,0.75,162,COVID-19
2023-03-15,-28 day ahead inc hosp,2023-02-15,DE,00-04,quantile,0.9,164,COVID-19
2023-03-15,-28 day ahead inc hosp,2023-02-15,DE,00-04,quantile,0.975,167,COVID-19
2023-03-15,-28 day ahead inc hosp,2023-02-15,DE,00+,quantile,0.025,8153,COVID-19
2023-03-15,-28 day ahead inc hosp,2023-02-15,DE,00+,quantile,0.1,8170,COVID-19
2023-03-15,-28 day ahead inc hosp,2023-02-15,DE,00+,quantile,0.25,8191,COVID-19
2023-03-15,-28 day ahead inc hosp,2023-02-15,DE,00+,quantile,0.5,8219,COVID-19
2023-03-15,-28 day ahead inc hosp,2023-02-15,DE,00+,quantile,0.75,8255,COVID-19
2023-03-15,-28 day ahead inc hosp,2023-02-15,DE,00+,quantile,0.9,8296,COVID-19
2023-03-15,-28 day ahead inc hosp,2023-02-15,DE,00+,quantile,0.975,8354,COVID-19
2023-03-15,-28 day ahead inc hosp,2023-02-15,DE,05-14,quantile,0.025,71,COVID-19
2023-03-15,-28 day ahead inc hosp,2023-02-15,DE,05-14,quantile,0.1,71,COVID-19
2023-03-15,-28 day ahead inc hosp,2023-02-15,DE,05-14,quantile,0.25,71,COVID-19
2023-03-15,-28 day ahead inc hosp,2023-02-15,DE,05-14,quantile,0.5,72,COVID-19
2023-03-15,-28 day ahead inc hosp,2023-02-15,DE,05-14,quantile,0.75,73,COVID-19
2023-03-15,-28 day ahead inc hosp,2023-02-15,DE,05-14,quantile,0.9,73,COVID-19
2023-03-15,-28 day ahead inc hosp,2023-02-15,DE,05-14,quantile,0.975,74,COVID-19
2023-03-15,-28 day ahead inc hosp,2023-02-15,DE,15-34,quantile,0.025,538,COVID-19
